Date,Open,High,Low,Close,Adj Close,Volume
2014-01-03,326.140015,328.089996,325.279999,327.640015,327.640015,220228300
2014-01-06,327.100006,328.119995,326.510010,326.980011,326.980011,194489900
2014-01-07,327.230011,329.750000,326.679993,329.399994,329.399994,344684700
2014-01-08,329.529999,329.910004,328.779999,329.750000,329.750000,378094300
2014-01-09,329.790009,330.950012,327.820007,328.410004,328.410004,356556600
2014-01-10,329.000000,331.570007,329.000000,329.950012,329.950012,289737000
2014-01-13,330.559998,331.079987,329.859985,330.720001,330.720001,251150800
2014-01-14,329.000000,331.329987,327.339996,331.230011,331.230011,283786700
2014-01-15,331.869995,334.600006,331.869995,334.510010,334.510010,341459700
2014-01-16,334.459991,334.600006,333.670013,333.989990,333.989990,313622100
2014-01-17,333.750000,336.070007,333.750000,335.820007,335.820007,329356800
2014-01-20,335.429993,335.989990,334.750000,335.500000,335.500000,192173500
2014-01-21,335.730011,337.649994,335.320007,335.760010,335.760010,256322100
2014-01-22,336.130005,337.269989,335.070007,336.059998,336.059998,299695500
2014-01-23,335.609985,336.670013,331.940002,332.690002,332.690002,287175700
2014-01-24,332.670013,333.359985,324.500000,324.750000,324.750000,374703400
2014-01-27,324.700012,324.839996,321.390015,322.019989,322.019989,360964400
2014-01-28,322.950012,324.880005,322.760010,324.220001,324.220001,284382700
2014-01-29,325.519989,328.019989,319.290009,322.390015,322.390015,363736600
2014-01-30,322.160004,324.250000,320.059998,323.320007,323.320007,288617200
2014-01-31,323.369995,323.540009,318.000000,322.519989,322.519989,293402700
2014-02-03,322.239990,323.869995,317.950012,318.209991,318.209991,284392300
2014-02-04,317.019989,318.660004,315.609985,317.579987,317.579987,348874500
2014-02-05,317.519989,319.209991,316.739990,318.040009,318.040009,295228600
2014-02-06,319.059998,323.399994,318.760010,322.769989,322.769989,361205200
2014-02-07,323.529999,325.450012,322.690002,325.089996,325.089996,308128200
2014-02-10,325.640015,326.029999,324.670013,325.299988,325.299988,217047400
2014-02-11,325.839996,329.519989,325.839996,329.519989,329.519989,286631500
2014-02-12,329.970001,333.019989,329.970001,332.000000,332.000000,303504300
2014-02-13,331.510010,331.519989,328.790009,331.480011,331.480011,300836500
2014-02-14,331.540009,333.429993,331.350006,333.320007,333.320007,279830800
2014-02-17,null,null,null,null,null,null
2014-02-18,334.790009,334.890015,332.309998,334.600006,334.600006,267328100
2014-02-19,334.339996,335.329987,332.609985,334.940002,334.940002,240624400
2014-02-20,333.420013,334.779999,331.279999,334.779999,334.779999,244328900
2014-02-21,335.700012,336.420013,335.049988,336.089996,336.089996,258167300
2014-02-24,335.799988,338.190002,334.589996,338.190002,338.190002,267680800
2014-02-25,337.950012,338.589996,336.459991,338.390015,338.390015,288748300
2014-02-26,338.230011,338.570007,336.470001,337.700012,337.700012,242182900
2014-02-27,337.760010,338.019989,334.250000,337.209991,337.209991,300417700
2014-02-28,337.510010,338.230011,335.510010,338.019989,338.019989,295954400
2014-03-03,335.820007,335.820007,330.279999,330.359985,330.359985,336303500
